model_name,pretrained,fraction,augmentation,mAP_mean,mAP_std,n_seeds
convnext_t,False,0.05,standard,0.0827,0.0017,3
convnext_t,False,0.1,standard,0.0921,0.0125,3
convnext_t,False,0.2,standard,0.084,0.0097,3
convnext_t,False,0.5,standard,0.1137,0.0263,3
convnext_t,False,1.0,standard,0.1279,0.0165,3
convnext_t,True,0.05,standard,0.7799,0.0016,3
convnext_t,True,0.1,standard,0.8477,0.0012,3
convnext_t,True,0.2,standard,0.8812,0.0013,3
convnext_t,True,0.5,standard,0.8992,0.0014,3
convnext_t,True,1.0,standard,0.9113,0.0004,3
deit_s,False,0.05,standard,0.104,0.0038,3
deit_s,False,0.1,standard,0.1344,0.0072,3
deit_s,False,0.2,standard,0.1526,0.0412,3
deit_s,False,0.5,standard,0.2034,0.034,3
deit_s,False,1.0,standard,0.1692,0.0042,3
deit_s,True,0.05,standard,0.7688,0.0018,3
deit_s,True,0.1,standard,0.8363,0.0016,3
deit_s,True,0.2,standard,0.8739,0.0018,3
deit_s,True,0.5,standard,0.8917,0.0007,3
deit_s,True,1.0,standard,0.9025,0.0006,3
resnet50,False,0.05,standard,0.0844,0.0051,3
resnet50,False,0.1,standard,0.1033,0.005,3
resnet50,False,0.2,standard,0.121,0.0083,3
resnet50,False,0.5,standard,0.196,0.0147,3
resnet50,False,1.0,standard,0.2929,0.0243,3
resnet50,True,0.05,standard,0.7631,0.0069,3
resnet50,True,0.1,standard,0.8048,0.0007,3
resnet50,True,0.2,standard,0.8231,0.001,3
resnet50,True,0.5,standard,0.8475,0.0016,3
resnet50,True,1.0,none,0.8575,0.0044,3
resnet50,True,1.0,standard,0.8553,0.0031,3
resnet50,True,1.0,strong,0.8591,0.001,3
vit_b16,False,0.05,standard,0.1155,0.0041,3
vit_b16,False,0.1,standard,0.1494,0.0071,3
vit_b16,False,0.2,standard,0.1881,0.0039,3
vit_b16,False,0.5,standard,0.166,0.0168,3
vit_b16,False,1.0,standard,0.1661,0.006,3
vit_b16,True,0.05,standard,0.8098,0.0077,3
vit_b16,True,0.1,standard,0.87,0.0028,3
vit_b16,True,0.2,standard,0.8937,0.0012,3
vit_b16,True,0.5,standard,0.9142,0.0009,3
vit_b16,True,1.0,none,0.9177,0.0022,3
vit_b16,True,1.0,standard,0.9268,0.0009,3
vit_b16,True,1.0,strong,0.9269,0.0006,3
